parent_symbol,parent_meta,parent_mass_num,daughter_symbol,daughter_meta,daughter_mass_num,decay_type,branching_ratio,branching_unc
H,,3,He,,3,B-,100.0,
He,,6,Li,,6,B-,100.0,
Be,,7,Li,,7,EC,100.0,
Be,,10,B,,10,B-,100.0,
C,,11,B,,11,EC,100.0,
N,,13,C,,13,EC,100.0,
C,,14,N,,14,B-,100.0,
O,,15,N,,15,EC,100.0,
N,,16,O,,16,B-,100.0,
F,,18,O,,18,EC,100.0,
O,,19,F,,19,B-,100.0,
Na,,22,Ne,,22,EC,100.0,
Ne,,23,Na,,23,B-,100.0,
Na,,24,Mg,,24,B-,100.0,
Na,m,24,Mg,,24,B-,0.5,
Na,m,24,Na,,24,I.T.,99.5,
Al,,26,Mg,,26,EC,100.0,
Mg,,27,Al,,27,B-,100.0,
Al,,28,Si,,28,B-,100.0,
Mg,,28,Al,,28,B-,100.0,
Si,,31,P,,31,B-,100.0,
P,,32,S,,32,B-,100.0,
P,,33,S,,33,B-,100.0,
S,,35,Cl,,35,B-,100.0,
Cl,,36,Ar,,36,B-,98.1,0.1
Cl,,36,S,,36,EC,1.9,0.1
Ar,,37,Cl,,37,EC,100.0,
S,,37,Cl,,37,B-,100.0,
Cl,,38,Ar,,38,B-,100.0,
K,,40,Ar,,40,EC,10.439,0.07433034373659253
K,,40,Ca,,40,B-,89.56,0.07
Ar,,41,K,,41,B-,100.0,
Ca,,41,K,,41,EC,100.0,
K,,42,Ca,,42,B-,100.0,
K,,43,Ca,,43,B-,100.0,
Sc,,44,Ca,,44,EC,100.0,
Ti,,44,Sc,,44,EC,100.0,
Ca,,45,Sc,,45,B-,100.0,
Ti,,45,Sc,,45,EC,100.0,
Sc,,46,Ti,,46,B-,100.0,
Ca,,47,Sc,,47,B-,100.0,
Sc,,47,Ti,,47,B-,100.0,
Sc,,48,Ti,,48,B-,100.0,
V,,48,Ti,,48,EC,100.0,
Ca,,49,Sc,,49,B-,100.0,
V,,50,Cr,,50,B-,0.7000000000000001,0.7000000000000001
V,,50,Ti,,50,EC,99.3,0.7000000000000001
Cr,,51,V,,51,EC,100.0,
Ti,,51,V,,51,B-,100.0,
Fe,,52,Mn,,52,EC,100.0,
Mn,,52,Cr,,52,EC,100.0,
Mn,m,52,Cr,,52,EC,98.295,0.042
Mn,m,52,Mn,,52,IT,1.7049999999999998,0.042
V,,52,Cr,,52,B-,100.0,
Mn,,54,Cr,,54,EC,100.0,
Co,,55,Fe,,55,EC,100.0,
Fe,,55,Mn,,55,EC,100.0,
Co,,56,Fe,,56,EC,100.0,
Mn,,56,Fe,,56,B-,100.0,
Ni,,56,Co,,56,EC,100.0,
Co,,57,Fe,,57,EC,100.0,
Ni,,57,Co,,57,EC,100.0,
Co,,58,Fe,,58,EC,100.0,
Co,m,58,Co,,58,I.T.,100.0,
Fe,,59,Co,,59,B-,100.0,
Ni,,59,Co,,59,EC,100.0,
Co,,60,Ni,,60,B-,100.0,
Co,m,60,Co,,60,I.T.,99.75,
Co,m,60,Ni,,60,B-,0.25,
Co,,61,Ni,,61,B-,100.0,
Cu,,61,Ni,,61,EC,100.0,
Ni,,63,Cu,,63,B-,100.0,
Zn,,63,Cu,,63,EC,100.0,
Cu,,64,Ni,,64,EC,61.519999999999996,0.26
Cu,,64,Zn,,64,B-,38.48,0.26
Ni,,65,Cu,,65,B-,100.0,
Zn,,65,Cu,,65,EC,100.0,
Cu,,66,Zn,,66,B-,100.0,
Ga,,66,Zn,,66,EC,100.0,
Cu,,67,Zn,,67,B-,100.0,
Ga,,67,Zn,,67,EC,100.0,
Ga,,68,Zn,,68,EC,100.0,
Ge,,68,Ga,,68,EC,100.0,
Zn,,69,Ga,,69,B-,100.0,
Zn,m,69,Ga,,69,B-,0.033,
Zn,m,69,Zn,,69,I.T.,99.967,
Ga,,72,Ge,,72,B-,100.0,
Se,,73,As,,73,EC,100.0,
Se,,75,As,,75,EC,100.0,
As,,76,Se,,76,B-,100.0,
Br,,76,Se,,76,EC,100.0,
Ge,,77,As,,77,B-,100.0,
Kr,,79,Br,,79,"B+, EC",100.0,
Se,,79,Br,,79,B-,100.0,
Br,,80,Kr,,80,B-,91.7,0.2
Br,,80,Se,,80,EC,8.3,0.2
Br,m,80,Br,,80,IT,100.0,
Kr,m,81,Kr,,81,I.T.,100.0,
Rb,,81,Kr,,81,"B+, EC",100.0,
Rb,m,81,Kr,,81,"B+, EC",3.8,
Rb,m,81,Rb,,81,I.T.,96.2,
Br,,82,Kr,,82,B-,100.0,
Rb,,82,Kr,,82,EC,100.0,
Sr,,82,Rb,,82,EC,100.0,
Br,,83,Kr,,83,B-,100.0,
Kr,m,83,Kr,,83,IT,100.0,
Rb,,83,Kr,,83,EC,100.0,
Rb,,84,Kr,,84,"B+, EC",96.2,
Rb,,84,Sr,,84,B-,3.8,
Kr,,85,Rb,,85,B-,100.0,
Kr,m,85,Kr,,85,I.T.,21.4,
Kr,m,85,Rb,,85,B-,78.6,
Sr,,85,Rb,,85,EC,100.0,
Br,,86,Kr,,86,B-,100.0,
Rb,,86,Kr,,86,EC,0.0052,
Rb,,86,Sr,,86,B-,99.995,
Br,,87,Kr,,87,B-,100.0,
Kr,,87,Rb,,87,B-,100.0,
Rb,,87,Sr,,87,B-,100.0,
Kr,,88,Rb,,88,B-,100.0,
Rb,,88,Sr,,88,B-,100.0,
Y,,88,Sr,,88,EC,100.0,
Zr,,88,Y,,88,EC,100.0,
Kr,,89,Rb,,89,B-,100.0,
Rb,,89,Sr,,89,B-,100.0,
Sr,,89,Y,,89,B-,100.0,
Y,m,89,Y,,89,IT,100.0,
Zr,,89,Y,,89,EC,100.0,
Kr,,90,Rb,,90,B-,100.0,
Rb,,90,Sr,,90,B-,100.0,
Rb,m,90,Rb,,90,IT,2.5,
Rb,m,90,Sr,,90,B-,97.5,
Sr,,90,Y,,90,B-,100.0,
Y,,90,Zr,,90,B-,100.0,
Y,m,90,Y,,90,IT,99.9981,
Y,m,90,Zr,,90,B-,0.0019000000000000002,
Kr,,91,Rb,,91,B-,100.0,
Rb,,91,Sr,,91,B-,100.0,
Sr,,91,Y,,91,B-,100.0,
Y,,91,Zr,,91,B-,100.0,
Y,m,91,Y,,91,IT,100.0,
Nb,,92,Zr,,92,EC,100.0,
Nb,m,92,Zr,,92,"B+, EC",100.0,
Sr,,92,Y,,92,B-,100.0,
Y,,92,Zr,,92,B-,100.0,
Mo,,93,Nb,,93,EC,100.0,
Mo,m,93,Mo,,93,I.T.,99.88,
Mo,m,93,Nb,,93,EC,0.12,
Nb,m,93,Nb,,93,IT,100.0,
Y,,93,Zr,,93,B-,100.0,
Zr,,93,Nb,,93,B-,100.0,
Nb,,94,Mo,,94,B-,100.0,
Sr,,94,Y,,94,B-,100.0,
Tc,m,94,Mo,,94,EC,100.0,
Y,,94,Zr,,94,B-,100.0,
Nb,,95,Mo,,95,B-,100.0,
Nb,m,95,Mo,,95,B-,2.5,
Nb,m,95,Nb,,95,IT,97.5,
Tc,,95,Mo,,95,EC,100.0,
Tc,m,95,Mo,,95,EC,96.12,0.32
Tc,m,95,Tc,,95,IT,3.88,0.32
Zr,,95,Nb,,95,B-,100.0,
Nb,,96,Mo,,96,B-,100.0,
Tc,,96,Mo,,96,EC,100.0,
Nb,,97,Mo,,97,B-,100.0,
Nb,m,97,Nb,,97,I.T.,100.0,
Ru,,97,Tc,,97,EC,100.0,
Zr,,97,Nb,,97,B-,100.0,
Mo,,99,Tc,,99,B-,100.0,
Tc,,99,Ru,,99,B-,100.0,
Tc,m,99,Ru,,99,B-,0.004,
Tc,m,99,Tc,,99,IT,100.0,
Mo,,101,Tc,,101,B-,100.0,
Tc,,101,Ru,,101,B-,100.0,
Pd,,103,Rh,,103,EC,100.0,
Rh,m,103,Rh,,103,IT,100.0,
Ru,,103,Rh,,103,B-,100.0,
Tc,,104,Ru,,104,B-,100.0,
Rh,,105,Pd,,105,B-,100.0,
Rh,,106,Pd,,106,B-,100.0,
